"TCGA-4Z-AA7R-01";"TCGA-BL-A3JM-01";"TCGA-BT-A0S7-01";"TCGA-BT-A2LA-01";"TCGA-C4-A0EZ-01";"TCGA-DK-AA6W-01";"TCGA-FJ-A871-01";"TCGA-G2-A2EL-01";"TCGA-GD-A3OS-01";"TCGA-GV-A3JZ-01";"TCGA-K4-A3WV-01";"TCGA-XF-A9ST-01";"TCGA-XF-A9T2-01";"TCGA-XF-AAMG-01";"TCGA-XF-AAMH-01";"TCGA-XF-AAN7-01";"TCGA-YC-A9TC-01";"TCGA-ZF-AA4R-01"
"LDB2";0.0368509502475214;0.0492170068466952;0.0892497417036402;0;0.00323632357709247;0.0300233829067175;0.0653856784201394;0.10603711242298;0.152108672931671;0;0;0;0;0;0.103353961215082;0;0;0.176957537150562
"ERG";0;0;0;0;0.00310238279994623;0.0379573066078321;0.0753740555656583;0.128853179811706;0.0115649646681352;0;0;0;0;0.0101356381144213;0.0513452005852239;0;0;0
"LZTS1";0;0;0;0;0;0;0;0;0.0127471333498977;0;0;0;0;0;0;0;0;0
"GLIS3";0;0;0;0;0.0146646608040664;0.00537485890294081;0.00910745102153074;0.0133903171656257;0;0.00828264632063823;0;0.00181021554503606;0;0;0;0;0;0
"GFI1";0;0;0;0;0;0;0.0412628464983436;0;0;0;0;0;0.0635755628549428;0;0;0;0;0
"FOXD1";0.0382004141763165;0;0;0;0;0;0;0;0;0.00101071922078804;0;0;0;0.0322416810400769;0.0486349680783007;0;0;0
"WWTR1";0.000527643886758818;0.0107873970151889;0;0;0;0.00503989162785062;0;0;0;0.0281531636995753;0;0;0.00173804343451579;0;0;0;0;0
"BACH2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EGR2";0;0;0;0;0;0;0;0;0;0;0;0.0151107164983237;0;0;0;0;0;0
"EZH2";0;0;0;0;0;0;0.00260627095096257;0;0;0;0;0;0;0;0;0;0;0
"ZNF436";0.0241720267191544;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ELF3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZNF205";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0046170656087398
"ZNF165";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZFPM1";0;0;0;0;0;0.00516095345933898;0;0;0;0;0;0;0;0;0;0.00962250686468858;0.00401744329391991;0.00125140127574869
"HES1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZNF513";0;0;0.654511162145577;0;0.0018610510980853;0;0;0;0.0425309375404891;0;0;0;0.0108553611728274;0;0;0.00838290900622242;0;0
"FOXH1";0;0;0;0;0;0;0;0;0;0;0;0;0.00751129107619815;0;0;0;0;0
