;BasalSquamous;Luminal;LuminalInfiltrated;LuminalPapillary;Neuronal
ZNF649;0.312977099236641;0;0.540540540540541;0;0.388888888888889
ZNF547;0;0.522727272727273;0.418918918918919;0;0.388888888888889
ZNF177;0.564885496183206;0.181818181818182;0.337837837837838;0;0.388888888888889
KLF3;0.351145038167939;0;0.148648648648649;0;0.388888888888889
NFIC;0.152671755725191;0.181818181818182;0.0675675675675676;0;0.388888888888889
TBX3;0.122137404580153;0.409090909090909;0.675675675675676;0.791044776119403;0.333333333333333
ZNF416;0.519083969465649;0.545454545454545;0.472972972972973;0.67910447761194;0.333333333333333
NOTCH2;0.374045801526718;0.136363636363636;0.108108108108108;0.626865671641791;0.333333333333333
TOP2B;0;0.113636363636364;0.22972972972973;0.619402985074627;0.333333333333333
ZSCAN16;0.458015267175573;0.340909090909091;0.27027027027027;0.597014925373134;0.333333333333333
HEY2;0.50381679389313;0.431818181818182;0.432432432432432;0.567164179104478;0.333333333333333
ZNF418;0.366412213740458;0.386363636363636;0.175675675675676;0.544776119402985;0.333333333333333
POU2AF1;0.389312977099237;0.568181818181818;0.554054054054054;0.537313432835821;0.333333333333333
HSF4;0.679389312977099;0.318181818181818;0.405405405405405;0.537313432835821;0.333333333333333
KLF13;0;0.704545454545455;0.662162162162162;0.522388059701492;0.333333333333333
FOXD4;0.618320610687023;0.386363636363636;0.513513513513513;0.522388059701492;0.333333333333333
NR3C1;0.580152671755725;0;0.432432432432432;0.514925373134328;0.333333333333333
HOXD1;0.389312977099237;0.272727272727273;0.378378378378378;0.485074626865672;0.333333333333333
TNFAIP3;0.534351145038168;0.25;0.486486486486487;0.440298507462687;0.333333333333333
HOXA11;0.534351145038168;0.545454545454545;0.445945945945946;0.395522388059701;0.333333333333333
TTF2;0.305343511450382;0.454545454545455;0.0945945945945946;0.388059701492537;0.333333333333333
HOXB3;0.427480916030534;0.613636363636364;0.472972972972973;0.380597014925373;0.333333333333333
MITF;0.450381679389313;0.0909090909090909;0.432432432432432;0.373134328358209;0.333333333333333
POLR1B;0.259541984732824;0.0909090909090909;0.216216216216216;0.328358208955224;0.333333333333333
BTG2;0.625954198473282;0.340909090909091;0.459459459459459;0.32089552238806;0.333333333333333
ZFP36;0.389312977099237;0.204545454545455;0.337837837837838;0.32089552238806;0.333333333333333
AEBP1;0.610687022900763;0.386363636363636;0.297297297297297;0.298507462686567;0.333333333333333
PPAN;0.366412213740458;0.363636363636364;0;0.291044776119403;0.333333333333333
HOXD4;0.511450381679389;0.159090909090909;0.364864864864865;0.253731343283582;0.333333333333333
FOSB;0.465648854961832;0.295454545454545;0.337837837837838;0.253731343283582;0.333333333333333
XRCC3;0.603053435114504;0.545454545454545;0.0945945945945946;0.246268656716418;0.333333333333333
BCL6B;0.236641221374046;0.113636363636364;0.351351351351351;0.216417910447761;0.333333333333333
TOX;0.0305343511450382;0.136363636363636;0.0675675675675676;0.208955223880597;0.333333333333333
AFF1;0.229007633587786;0.159090909090909;0.0810810810810811;0.201492537313433;0.333333333333333
WHSC1L1;0.145038167938931;0.0681818181818182;0.0675675675675676;0.201492537313433;0.333333333333333
TSC22D3;0.0610687022900763;0.340909090909091;0.5;0.194029850746269;0.333333333333333
EOMES;0.435114503816794;0.431818181818182;0.0945945945945946;0.171641791044776;0.333333333333333
GLIS3;0.343511450381679;0.613636363636364;0.175675675675676;0.141791044776119;0.333333333333333
ZNF675;0.549618320610687;0.0681818181818182;0.0945945945945946;0.141791044776119;0.333333333333333
SOX5;0;0.136363636363636;0;0.0746268656716418;0.333333333333333
HIF3A;0.00763358778625954;0.136363636363636;0;0.0522388059701493;0.333333333333333
SPOCD1;0.916030534351145;0.590909090909091;0.662162162162162;0;0.333333333333333
RXRA;0.129770992366412;0.136363636363636;0.554054054054054;0;0.333333333333333
CREB3L4;0;0.431818181818182;0.324324324324324;0;0.333333333333333
ANKRD10;0;0.590909090909091;0.310810810810811;0;0.333333333333333
