gene ; activator ; inhibitor
SEMA6C ; ZNF444 SMARCD3 ; 
TNFAIP8L2 ; MNDA LYL1 SLA2 TBX21 STAT4 VENTX SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 ; 
POGZ ; ZNF333 ZNF136 ; 
CGN ; FOXA1 VGLL1 SOX13 GRHL3 TOB1 ELF5 ; POLR1E
S100A10 ;  ; KLF15
S100A8 ; MXD1 ; 
S100A16 ; IRX3 ; ZNF709
S100A14 ; BARX2 ; 
S100A13 ; PTRF ; 
NPR1 ; SOX17 NOTCH4 BCL6B MEF2C KLF2 EBF1 LDB2 EBF3 ; 
ATP8B2 ; KLF9 LHX6 MEF2C MEOX2 KLF2 APBB1 AFF3 EBF1 LDB2 GLI2 NAP1L3 LZTS1 SOX5 TCF4 EBF3 ANKRD53 RUNX1T1 ; 
SHE ; TAL1 SOX17 NR5A2 NOTCH4 FLI1 BCL6B MEF2C KLF2 MEOX1 ERG AFF3 EBF1 LDB2 FHL5 LZTS1 TCF4 EBF3 RUNX1T1 ; 
KCNN3 ; POU2AF1 IRF4 ; 
CKS1B ; RUVBL1 ; 
DPM3 ; SCAND1 ; 
KRTCAP2 ;  ; GTF2A1
THBS3 ; NFATC4 ; 
SYT11 ; FLI1 MITF MEF2C KLF2 APBB1 AFF3 EBF1 LDB2 NAP1L3 EBF3 RUNX1T1 ; 
RAB25 ; TRIM29 IRF6 TFAP2C OVOL2 EHF OVOL1 FOXA1 GRHL1 ZNF165 ELF3 CASZ1 KLF5 VGLL1 ZBTB7B HES1 GRHL3 ; MNDA LYL1 ASB1 HMGA2 PGBD1 RUNX3 VENTX SPI1 BIN1 TFEC HIVEP3 KCNIP3 ETV5 PHF19
TMEM79 ; OVOL1 ; 
IQGAP3 ; FOXM1 TRIP13 BRCA1 E2F7 WHSC1 ; 
SH2D2A ; SLA2 ; 
FCRL5 ; ZBTB32 POU2AF1 POU2F2 IRF4 ; 
KIRREL ; ELK3 ; 
CD1D ; IRF8 FLI1 KLF2 EBF1 ; 
PYHIN1 ; MNDA STAT5A SLA2 IRF1 ZBTB32 TBX21 GFI1 RUNX3 STAT4 STAT1 FOXP3 SPI1 EOMES CIITA SP140 IRF8 TFEC IRF4 ; 
AIM2 ; STAT1 IFI16 TRIM22 ; 
DARC ; SOX17 KLF2 MEOX1 TCF21 AFF3 EBF1 EBF3 ; 
FCRL6 ; SLA2 TBX21 STAT1 SPI1 EOMES CIITA SP140 IRF8 TFEC IRF4 ; 
SLAMF8 ; MNDA SLA2 IRF1 TBX21 STAT4 VENTX STAT1 SPI1 CIITA SP140 IRF8 TFEC IRF4 ; 
TAGLN2 ;  ; ZNF397
IGSF9 ;  ; BIN1
