gene ; activator ; inhibitor
CYR61 ; PTRF TWIST2 HIC1 NR4A3 MSC EGR1 AEBP1 HAND2 EGR3 CSDC2 PRRX1 TWIST1 ; 
GBP1 ; STAT1 IRF1 SLA2 ; 
GBP4 ; IRF1 SLA2 CIITA TRIM22 ; 
GBP5 ; SPI1 IRF1 TBX21 SLA2 CIITA MNDA RUNX3 IRF8 TFEC FOXP3 ; 
CDC7 ; E2F1 FOXM1 ESPL1 HMGB2 CHAF1A ZNF367 EZH2 MCM6 KNTC1 TIMELESS DNMT1 WDHD1 BRIP1 MCM4 WHSC1 ; 
KIAA1107 ; ZNF160 RBL2 PHF8 ZNF397 ZKSCAN1 ; 
FAM69A ; PTRF SETBP1 ; 
CCDC18 ; ZNF695 ZNF519 ; 
FNBP1L ; ZNF254 ZNF124 ; 
CNN3 ;  ; SPOCD1
DPYD ; IFI16 NR3C1 MITF KLF12 ; 
LPPR4 ; FOXF1 TWIST1 ; 
AGL ; SHPRH ; 
SLC35A3 ; ASCC3 MCM4 NCOA2 CLOCK ; 
SASS6 ; ESPL1 BRCA1 TTF2 BRCA2 BRIP1 ZNF92 ; 
VCAM1 ; ZNF469 GLIS1 PTRF TWIST2 EBF1 GLI2 ETV1 MEF2C BACH2 HIC1 PGR MSC GATA6 LEF1 FLI1 IRF8 KLF9 FOXF1 AEBP1 PRRX2 TCF4 ZFPM2 DAB2 NAP1L3 EGR2 HAND2 GLIS2 TSHZ3 RUNX1T1 CSDC2 PRRX1 TWIST1 TRPS1 ; 
S1PR1 ; SNAI1 SOX17 HEYL TAL1 FHL5 PTRF EBF1 LDB2 BCL6B KLF2 MEF2C ZBTB16 HIC1 NR4A3 TCF21 EBF3 MEOX1 MSC GATA6 LEF1 FLI1 KLF9 FOXF1 AEBP1 LZTS1 TCF4 ERG ZFPM2 HAND2 NOTCH4 CSDC2 PRRX1 TWIST1 ; 
COL11A1 ; AEBP1 ZFPM2 GLIS2 PRRX1 ; 
VAV3 ; NCOA3 ; 
SLC25A24 ; ASCC3 CLOCK ; 
GPSM2 ; FOXM1 ESPL1 ZNF367 TIMELESS WDHD1 RBL1 MCM4 WHSC1 ; 
WDR47 ; SHPRH AFF4 CLOCK ATF2 GTF2A1 APC ASH1L ZNF641 ; 
PSRC1 ; PTTG1 HMGB2 WHSC1 ; 
SYPL2 ; PTRF TWIST2 EBF1 GLI2 HIC1 MSC GATA6 FOXF1 AEBP1 ZFPM2 HAND2 CSDC2 PRRX1 TWIST1 TRPS1 ; 
CYB561D1 ; TRIM25 JRK CRAMP1L ; 
GSTM5 ; TGFB1I1 PTRF TWIST2 GLI2 HIC1 TCF21 MSC MEOX2 FOXF1 AEBP1 PRRX2 HAND2 CSDC2 PRRX1 TWIST1 ; 
CSF1 ; MNDA FOXP3 ; 
SLC16A4 ; HCLS1 ; 
KCNA3 ; SPI1 TBX21 IRF4 FLI1 MNDA RUNX3 IRF8 TFEC EOMES FOXP3 ; 
CD53 ; SP140 SPI1 TBX21 IRF4 SLA2 VENTX NFATC1 STAT4 CIITA FLI1 MNDA RUNX3 IRF8 TFEC EOMES TOX FOXP3 PRRX1 HCLS1 ; 
DENND2D ;  ; TEAD2
CHI3L2 ; CSDC2 ; 
C1orf162 ; LYL1 SPI1 PTRF SLA2 KLF2 VENTX HIC1 STAT4 MSC MNDA RUNX3 IRF8 AEBP1 PRRX1 ; 
ADORA3 ; SPI1 MNDA TFEC ; 
CTTNBP2NL ; ELK3 ; 
RHOC ;  ; ZNF124 ZNF92 ZNF708
LRIG2 ; ZNF236 BTAF1 EP300 ZBTB43 ZNF81 ZNF623 ZKSCAN1 ; 
MAGI3 ; GTF2H3 BARD1 WHSC1L1 ADNP SHPRH BRPF3 JMJD1C NCOA2 ATF2 EPC1 ATF7IP APC ASH1L ; BOLA2 NME2
PTPN22 ; SP140 SPI1 TBX21 IRF4 POU2AF1 SLA2 STAT4 CIITA MNDA RUNX3 IRF8 TFEC TRIM22 EOMES FOXP3 ; 
OLFML3 ; TGFB1I1 ZNF469 GLIS1 PTRF TWIST2 BIN1 CREB3L1 GLI2 KLF2 VENTX TBX5 HIC1 MSC GATA6 GLI1 AEBP1 PRRX2 TCF4 ZFPM2 HAND2 GLIS2 TSHZ3 CSDC2 PRRX1 TWIST1 TRPS1 ; 
DENND2C ; REL ETV3 ; 
CASQ2 ; PTRF MYOCD HIC1 MSC GATA6 TBX4 MEOX2 AEBP1 ZFPM2 HAND2 CSDC2 PRRX1 ; 
CD2 ; SP140 SPI1 IRF1 TBX21 IRF4 SLA2 VENTX STAT4 CIITA MNDA RUNX3 IRF8 TFEC TRIM22 EOMES FOXP3 ; 
MAN1A2 ; ASCC3 AFF4 NCOA2 GTF2A1 ATF7IP ZNF641 ; 
WDR3 ; GTF2H3 GTF3C4 POLR1B ; 
ANKRD35 ; PIAS3 ; 
FAM72B ; RAD51 ZNF695 TRIP13 FOXM1 ESPL1 HMGB2 BRCA1 ; 
FAM72D ; RAD51 TRIP13 FOXM1 ESPL1 HMGB2 BRCA1 WHSC1 ; 
FCGR1A ; SPI1 VENTX MNDA IRF8 TFEC AEBP1 PRRX1 ; 
FCGR1B ; SPI1 VENTX MNDA IRF8 TFEC AEBP1 PRRX1 ; 
FCGR1C ; SPI1 VENTX MNDA TFEC AEBP1 PRRX1 ; 
GJA5 ; SOX17 HEYL PTRF TWIST2 EBF1 LDB2 BCL6B MEF2C HIC1 MSC AEBP1 HAND2 CSDC2 PRRX1 TWIST1 ; 
LIX1L ; TGFB1I1 PTRF TWIST2 EBF1 BIN1 GLI2 MEF2C VENTX HIC1 MSC GATA6 FLI1 MEOX2 KLF9 AEBP1 TCF4 ERG ZFPM2 NAP1L3 HAND2 GLIS2 TSHZ3 MITF RUNX1T1 CSDC2 PRRX1 TWIST1 TRPS1 ; 
NBPF10 ; HIVEP1 ZNF585B SHPRH BRPF3 MKL2 NCOA2 CLOCK EPC1 ETV3 ZNF623 ZKSCAN1 APC ASH1L ZNF641 ; 
NBPF14 ; NCOA2 EPC1 ZNF641 ; 
NBPF9 ; ZNF236 NR2C2 TAF1 ZNF81 APC ZNF169 ASH1L ZNF641 ; 
PLEKHO1 ; PTRF EBF1 PRRX2 PRRX1 ; 
