gene ; activator ; inhibitor
RAB25 ; TRIM29 OVOL1 IRF6 FOXA1 TFAP2C OVOL2 ELF3 GRHL1 VGLL1 KLF5 EHF ZNF165 RARG GRHL3 THRB CASZ1 GATA3 TEAD3 FOXQ1 ; CREM PTRF MCM8 FLI1 BIN1 APBB2 HMGA2 NFIC ANKRD53 CREB5 DAB2 PRRX1 GLIS3 BACH2 EOMES SPI1 MYBL1 WWTR1 MEF2C
MEX3A ; ZSCAN2 SMARCC1 ; 
LMNA ;  ; ZNF92
IQGAP3 ; KNTC1 E2F7 ; 
NES ; HEYL BCL6B ; 
FCRL5 ; POU2AF1 IRF4 FOXP3 ; 
KIRREL ; ELK3 ; NR2F6
CD1D ; MSC FLI1 SPI1 MEF2C ERG MNDA CREB5 ; 
PYHIN1 ; ZBTB32 TBX21 SP140 IRF1 IRF8 GFI1 EOMES SLA2 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
AIM2 ; IFI16 STAT1 ; 
DARC ; MEOX1 SOX17 ; 
FCRL6 ; TBX21 SLA2 TFEC ; 
SLAMF8 ; TBX21 VENTX IRF1 IRF8 EOMES SLA2 SPI1 ZNF469 AEBP1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 PRRX1 FOXP3 TWIST1 ; 
PEA15 ; AEBP1 MNDA ; 
SLAMF6 ; TBX21 SP140 IRF1 IRF8 EOMES SLA2 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
CD84 ; TBX21 SP140 VENTX IRF1 IRF8 EOMES SLA2 FLI1 BIN1 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 MAFB FOXP3 ; 
SLAMF1 ; ZBTB32 TBX21 SP140 VENTX IRF1 IRF8 GFI1 EOMES SLA2 FLI1 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
CD48 ; ZBTB32 TBX21 SP140 VENTX IRF1 IRF8 GFI1 EOMES SLA2 FLI1 BIN1 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 HCLS1 ; 
SLAMF7 ; TBX21 SP140 SLA2 SPI1 CIITA RUNX3 TFEC MNDA IRF4 STAT1 ; 
LY9 ; TBX21 SP140 FAIM3 IRF8 POU2AF1 SLA2 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 FOXP3 ; 
CD244 ; TFEC ; 
TSTD1 ; NR2F6 PCBD1 ; ELK3 HMGA2 MLXIP
ARHGAP30 ; IRF8 SLA2 SPI1 TFEC MNDA IRF4 FOXP3 ; 
