gene ; activator ; inhibitor
TDRD10 ; KLF2 ; 
KCNN3 ; POU2AF1 IRF4 ; 
CKS1B ; MYBL2 TRIP13 PTTG1 MCM5 MCM2 ; 
DPM3 ; SCAND1 ZNF524 ; ASCC3 GTF2A1
KRTCAP2 ; TAF10 ZNF688 ; GTF2H3 CLOCK GTF2A1
HCN3 ; SS18L1 ZNF443 ; 
SYT11 ; EBF1 HIC1 VENTX PTRF TGFB1I1 MSC KLF9 IRF8 FLI1 TCF4 ZNF469 TSHZ3 TOX LDB2 RUNX3 TFEC MEF2C AEBP1 ERG LZTS1 ZFPM2 APBB1 NAP1L3 GLIS2 TWIST2 PRRX1 HAND2 CSDC2 ; 
KIAA0907 ; ZNF195 BTAF1 DMTF1 MDM4 ZNF224 ZNF518A ZNF333 ; 
MEX3A ; ZSCAN2 ; 
LMNA ;  ; ZNF92
IQGAP3 ; PTTG1 HMGB2 BRCA1 EZH2 KNTC1 WHSC1 BRIP1 ; 
NES ; HEYL BCL6B MEF2C ERG ; 
SH2D2A ; TBX21 ; 
FCRL5 ; POU2AF1 FOXP3 IRF4 ; 
KIRREL ; ELK3 ; 
CD1D ; LYL1 SPI1 NFATC1 MNDA VENTX MSC IRF8 FLI1 RUNX3 TFEC KLF2 MEF2C ERG CREB5 ; 
PYHIN1 ; ZBTB32 IRF1 GFI1 SPI1 SLA2 MNDA SP140 EOMES CIITA IRF8 STAT4 TBX21 TOX STAT1 RUNX3 TFEC FOXP3 IRF4 ; 
AIM2 ; IFI16 STAT1 ; 
DARC ; SOX17 MEOX1 AFF3 KLF2 EBF3 ; 
FCRL6 ; SLA2 EOMES IRF8 STAT4 TBX21 TFEC IRF4 ; 
SLAMF8 ; IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX BIN1 EOMES CIITA IRF8 STAT4 TBX21 STAT1 RUNX3 TFEC AEBP1 FOXP3 IRF4 TWIST2 PRRX1 ; 
ATP1A2 ; MYOCD HAND2 ; 
PEA15 ; AEBP1 DAB2 PRRX1 ; 
SLAMF6 ; ZBTB32 IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX POU2F2 EOMES CIITA IRF8 POU2AF1 STAT4 TBX21 TOX STAT1 RUNX3 TFEC FOXP3 IRF4 PRRX1 ; 
CD84 ; SPI1 SLA2 MNDA SP140 EOMES CIITA IRF8 FLI1 STAT4 TBX21 STAT1 RUNX3 TFEC EGR2 FOXP3 IRF4 ; 
SLAMF1 ; ZBTB32 IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX EOMES CIITA IRF8 FLI1 STAT4 TBX21 TOX STAT1 RUNX3 TFEC FOXP3 IRF4 TWIST2 ; 
CD48 ; ZBTB32 IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX BIN1 EOMES CIITA IRF8 FLI1 STAT4 TBX21 TOX STAT1 RUNX3 TFEC FOXP3 IRF4 TWIST2 HCLS1 ; 
SLAMF7 ; SLA2 MNDA SP140 STAT4 TBX21 RUNX3 TFEC IRF4 ; 
LY9 ; LYL1 SPI1 SLA2 MNDA SP140 VENTX EOMES CIITA MSC IRF8 POU2AF1 STAT4 TBX21 RUNX3 TFEC FOXP3 IRF4 ; 
TSTD1 ; PCBD1 ; WWTR1 ELK3 MLXIP
ARHGAP30 ; SPI1 IRF8 FLI1 STAT4 RUNX3 TFEC FOXP3 IRF4 ; 
PVRL4 ; GRHL1 ELF3 TOB1 TBX6 ZNF436 ZNF440 ; SPI1 MNDA TFEC
