gene ; activator ; inhibitor
ELTD1 ; TAL1 NR5A2 BCL6B EBF1 HEYL NOTCH4 SOX17 FOXF1 MEF2C HIC1 FLI1 FHL5 KLF2 LDB2 TCF4 ERG LZTS1 TCF21 EBF3 ; 
SSX2IP ; DEK WDHD1 ; 
MCOLN2 ; SLA2 CIITA MNDA EOMES STAT4 SP140 TBX21 IRF8 TFEC RUNX3 FOXP3 IRF4 ; 
CYR61 ; NR4A3 MSC HIC1 TGFB1I1 PTRF TWIST1 EGR3 HAND2 TWIST2 AEBP1 EGR2 CSDC2 PRRX1 ; 
CLCA2 ; HES2 SOX15 ; 
GBP1 ; NMI IRF1 SP110 SLA2 CIITA GFI1 MNDA SP140 TBX21 TFEC STAT1 FOXP3 ; 
GBP4 ; NMI IRF1 SLA2 CIITA SP140 TRIM22 TBX21 STAT1 FOXP3 ; 
GBP5 ; IRF1 SP110 SLA2 CIITA GFI1 MNDA SPI1 EOMES STAT4 SP140 TRIM22 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
CDC7 ; ESPL1 HMGB2 CHAF1A ZNF367 TIMELESS EZH2 WDHD1 KNTC1 E2F7 WHSC1 BRIP1 DNMT1 ; 
TGFBR3 ; KLF15 ; 
KIAA1107 ; ZNF396 ZNF223 ZNF587 ZDHHC21 ZFP62 PHF8 BAZ2B AFF1 ZNF507 ZNF440 ZNF91 ZNF397 ZNF627 ZNF611 ZNF253 ZNF518A ZNF441 ZKSCAN1 ZNF443 ; TEAD4 PTRF
FAM69A ; PTRF ; 
FNBP1L ; POGK ZNF587 ZNF195 ZSCAN16 ZFP62 AFF1 ZNF440 ZNF91 ZNF397 ZNF627 ZNF253 ZNF443 ; PDLIM4
SLC44A3 ; PPARG PCBD1 ; HMGA2 CREB5
PTBP2 ; ZNF333 ; 
DPYD ; IFI16 MNDA STAT4 TBX21 RUNX3 STAT1 TRPS1 ; ZNF443
LPPR4 ; LDB2 LEF1 TCF21 ; 
AGL ; MKL2 ; 
SLC35A3 ; CLOCK NCOA2 ETV3 ; 
SASS6 ; ESPL1 TTF2 WHSC1 BRIP1 BRCA2 ; 
VCAM1 ; EBF1 MSC MEF2C HIC1 FLI1 PTRF IRF8 TFEC TWIST1 LEF1 TCF4 ZFPM2 AEBP1 IRF4 CSDC2 PRRX1 ; 
S1PR1 ; TAL1 BCL6B EBF1 HEYL KLF9 NOTCH4 NR4A3 SOX17 FOXF1 MEF2C MEOX1 HIC1 FLI1 FHL5 KLF2 LDB2 TCF4 ERG HAND2 AEBP1 EBF3 NAP1L3 ; 
COL11A1 ; ZNF469 GLIS2 AEBP1 PRRX1 ; 
SLC25A24 ; ASCC3 CLOCK ; 
GPSM2 ; MCM4 DEK WDHD1 WHSC1 DNMT1 ; 
CELSR2 ; BARX2 HES2 ; 
PSRC1 ; PTTG1 MCM7 HMGB2 ; 
SYPL2 ; EBF1 FOXF1 HIC1 HAND2 LZTS1 AEBP1 CSDC2 NAP1L3 ; 
CYB561D1 ; CRAMP1L JRK ; 
